,Device_name,Company,Price,Body_location,Components,Power,Connectivity,Compatibility,Primary_Application
0,4D Force,4D Force,,Worn on the Head,"EEG Sensor,EMG Sensor,EOG Sensor",Rechargeable Battery,Undisclosed,Undisclosed,"Gaming, Entertainment & Medical"
1,Viiiiva,4iiii,79.99,Worn on the Chest,Heart Rate Monitor,Disposable Battery,ANT+,iOS,Fitness
2,"IPCS ID-Badge, uTag, Asset Tag",9Solutions,"3,350.00",Worn on the Body (Anywhere),"Accelerometer,Button Interface,Buzzer",Rechargeable Battery,Zigbee,Windows,Medical & Industrial
3,MiCoach Fit Smart,Adidas,149.99,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Vibrator,LED Display,Button Interface,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
4,MiCoach Heart Rate Monitor,Adidas,59.99,Worn on the Chest,Heart Rate Monitor,Disposable Battery,Bluetooth,Windows Mobile,Fitness
5,MiCoach Speed Cell,Adidas,69.99,Worn on the Feet,Accelerometer,Rechargeable Battery,Bluetooth,Windows,Fitness
6,MiCoach X_Cell,Adidas,69.99,Worn on the Chest,"Heart Rate Monitor,Accelerometer",Disposable Battery,Bluetooth,Android,Fitness
7,Smart Run,Adidas,399.00,Worn on the Wrist,"Heart Rate Monitor,LCD Display,GPS,Accelerometer,Clock,Touch Interface",Rechargeable Battery,WiFi,Windows,Fitness & Lifestyle
8,iTAG100 Intrinsically Safe Wi-Fi RFID Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Accelerometer,Temperature Sensor,Button Interface,Thermometer",Disposable Battery,RFID,Undisclosed,Industrial & Medical
9,T2 Wi-Fi RFID Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Temperature Sensor,Thermometer,Button Interface",Disposable Battery,RFID,Undisclosed,Industrial & Medical
10,T3 Advanced Wi-Fi Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Temperature Sensor,Thermometer,Accelerometer,Button Interface,LED Indicator",Disposable Battery,RFID,Undisclosed,Industrial & Medical
